gfx,cu_num,M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle,libtype,solidx,splitK,us,kernelName,err_ratio,tflops,bw
gfx950,256,16384,160,6144,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,61.9076,native,0.0,520.33,3368.5
gfx950,256,32,19360,6144,False,torch.bfloat16,torch.bfloat16,False,False,torch,0,0,49.1749,native,0.0,154.81,4870.94
